A001_01;A002;A003;A004;A004_01;A004_02;A004_03;A004_04;A004_05;A004_06;A005;A006;A101_01;A101_02;A101_03;A101_04;A102_01;A102_02;A102_03;A102_04;A102_05;A103_01;A103_02;A103_03;A103_04;A103_05;A104_01;A104_02;A104_03;A201_01;A201_02;A201_03;A201_04;A201_05;A202_01;A202_02;A202_03;A202_04;A202_05;A204_01;A204_02;A204_03;A204_04;A204_05;A205_01;A205_02;A205_03;A205_04;A205_05;A206_CP;A206;A207_CP;A207;A208_CP;A208
26;1;6;2;2;2;1;1;1;1;1;1;3;7;3;3;5;3;3;4;7;3;7;5;7;5;7;7;7;7;7;7;7;7;6;7;7;7;7;7;7;7;7;7;7;7;7;7;7;86;1;70;4;66;1
18;1;2;5;2;2;2;1;2;2;1;1;4;7;3;3;5;2;6;3;3;4;4;4;4;3;2;2;1;5;4;5;4;5;4;3;3;4;4;4;4;4;4;4;5;4;4;4;4;86;2;69;4;65;2
18;1;2;4;2;2;2;1;2;1;1;1;1;4;2;3;5;3;4;5;5;5;5;5;3;4;5;5;4;6;6;7;5;4;6;6;6;6;6;5;5;5;5;5;6;6;6;4;6;85;1;69;3;65;1
18;1;4;2;1;2;1;1;2;1;1;1;3;5;4;3;6;2;2;4;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;87;2;70;3;66;2
24;1;6;2;2;2;1;1;1;1;1;1;3;3;1;1;6;6;4;6;6;1;4;1;1;1;7;1;1;1;1;4;1;1;4;5;4;2;2;1;4;4;2;4;1;4;4;1;6;87;1;71;3;67;1
24;1;6;3;2;2;2;1;1;1;1;1;3;5;4;4;5;2;2;5;5;6;6;6;5;5;7;6;6;6;4;7;2;5;6;7;6;7;7;4;5;6;6;5;7;6;6;6;7;88;2;71;4;67;2
27;1;6;2;1;2;2;1;1;1;2;1;2;3;2;2;4;3;3;3;3;3;4;5;4;5;3;2;3;5;4;5;4;4;4;4;4;4;4;5;5;5;5;6;3;4;5;3;6;88;1;72;4;68;2
52;1;6;1;2;1;1;1;1;1;5;1;5;6;6;6;4;3;3;3;4;2;3;2;2;2;2;2;2;4;4;4;4;4;4;3;4;3;3;3;3;4;3;4;4;4;3;4;3;89;2;72;3;68;1
27;1;6;2;2;2;1;1;1;1;1;1;3;6;5;5;3;3;3;2;3;4;4;4;4;4;7;4;5;6;5;6;6;4;6;5;4;5;4;5;5;6;3;6;5;6;5;6;5;91;1;73;4;69;2
26;1;6;2;2;2;1;1;1;1;1;1;2;5;3;4;4;2;2;4;4;4;5;3;5;5;5;2;4;5;6;6;6;4;4;5;5;6;5;2;6;5;4;3;4;5;6;4;6;89;1;73;3;69;1
25;1;6;1;1;2;1;1;1;1;2;1;6;6;4;5;5;4;5;6;6;6;6;6;5;5;6;6;5;6;5;6;5;6;5;6;6;6;6;4;5;6;6;6;6;6;6;5;6;90;2;74;4;70;1
25;1;6;2;2;2;1;1;1;1;1;1;4;6;4;4;4;2;4;4;4;4;4;5;4;4;1;1;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;90;1;74;3;70;2
28;1;6;2;2;2;1;1;1;1;1;1;5;6;4;4;4;4;4;4;4;4;5;4;4;4;3;5;4;5;5;5;3;3;5;6;6;6;6;4;3;5;5;5;5;5;6;4;6;91;2;75;4;71;1
32;1;6;3;2;2;2;1;1;1;1;1;5;7;5;5;6;3;3;3;2;3;4;5;3;2;2;2;2;5;4;5;3;5;4;4;4;3;4;3;3;3;3;4;2;5;4;2;3;92;1;75;3;71;2
43;1;6;2;2;1;2;1;1;1;1;1;4;3;4;4;3;3;3;3;2;2;2;2;2;2;2;2;2;5;5;5;1;4;5;6;5;6;6;3;4;4;4;4;6;5;6;4;6;92;2;76;3;72;1
24;1;6;2;1;2;1;1;2;1;1;1;3;5;4;4;3;3;3;3;5;1;1;1;2;4;1;1;2;4;5;1;5;4;2;1;1;1;1;1;4;4;3;3;1;4;3;3;4;93;2;76;4;72;2
28;1;6;4;2;2;2;1;2;1;1;1;2;3;3;4;4;1;1;2;4;1;3;2;4;3;1;1;2;6;5;6;3;4;3;2;3;2;3;2;3;2;4;4;5;4;6;6;6;93;1;77;4;73;1
26;1;6;2;2;2;1;1;1;1;1;1;4;5;4;5;3;4;5;6;5;4;5;5;5;6;4;4;4;6;6;6;2;5;7;7;7;6;7;5;7;7;6;7;7;6;7;6;7;94;2;77;3;73;2
24;1;6;1;2;1;1;1;1;1;1;1;4;6;6;3;4;4;5;6;4;6;5;5;5;5;6;3;5;6;6;6;5;6;5;5;5;5;5;5;6;6;6;6;6;5;6;5;7;94;1;78;4;74;1
34;1;6;2;2;2;1;1;1;1;1;1;3;6;3;3;4;5;4;5;6;2;3;5;3;2;2;2;2;4;4;3;4;3;3;4;3;3;3;1;3;3;2;4;3;4;4;2;5;95;2;78;3;74;2
30;2;6;2;2;2;1;1;1;1;1;1;5;6;6;5;4;4;5;6;6;5;5;4;5;6;4;2;3;5;5;6;4;4;4;6;5;5;5;5;3;6;5;3;5;5;6;4;6;95;1;79;4;75;2
30;2;6;3;2;2;2;1;1;1;3;1;6;7;6;6;7;6;6;6;6;3;2;1;2;1;3;2;2;6;6;6;3;6;2;2;3;2;2;2;2;2;2;7;2;3;4;2;4;96;2;79;3;75;1
29;1;6;3;2;2;2;1;1;1;1;1;4;4;4;5;6;3;4;4;5;3;5;5;4;4;2;2;2;5;4;6;4;5;4;5;5;5;5;4;5;5;5;5;5;5;5;5;5;96;1;80;4;76;2
26;1;6;2;1;2;2;1;1;1;1;1;1;3;3;1;2;1;1;1;3;2;3;2;4;2;2;2;2;4;1;3;2;2;5;4;3;4;3;2;1;2;2;2;1;2;4;1;5;97;1;80;3;76;1
27;1;6;1;1;2;1;1;1;1;2;1;4;5;4;4;3;3;3;4;3;3;3;2;2;1;2;2;3;4;3;5;4;4;5;5;5;5;4;1;2;2;2;2;3;4;5;4;5;97;2;81;3;77;1
38;2;6;2;2;2;1;1;1;1;2;1;5;6;5;4;4;2;1;2;3;1;1;2;1;2;2;1;2;6;6;7;5;5;5;2;4;3;4;3;5;5;3;3;5;6;6;5;5;98;2;81;4;77;2
28;2;6;3;2;2;2;1;1;1;1;1;4;6;5;5;4;5;4;4;5;5;5;4;5;4;4;5;5;4;5;4;5;4;5;5;6;5;5;6;3;5;6;3;4;6;5;4;5;98;1;82;4;78;1
23;1;4;6;2;2;2;2;2;2;1;1;5;5;5;4;5;5;4;5;3;4;5;4;4;4;2;2;2;4;4;5;4;3;4;3;3;4;3;3;4;3;4;4;3;4;4;4;5;99;2;83;4;79;2
22;1;4;4;1;2;1;2;2;2;1;1;6;6;6;5;5;4;4;5;6;4;5;4;4;4;5;2;4;5;5;6;5;4;5;5;5;5;5;5;6;5;6;4;6;6;6;5;6;99;1;82;3;78;2
23;1;7;5;2;2;2;2;2;1;1;1;5;7;6;6;6;5;5;6;4;7;4;6;6;5;1;3;2;6;6;7;7;6;3;1;2;4;2;3;4;5;4;5;5;6;5;4;5;100;2;83;3;79;1
29;1;6;3;2;2;2;1;1;1;1;1;5;4;5;5;3;2;2;4;4;1;4;4;4;4;1;1;2;6;6;6;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;5;100;1;84;3;80;1
35;2;6;2;2;2;1;1;1;1;3;1;4;4;4;4;4;1;1;1;1;1;1;1;1;1;1;1;1;4;4;4;4;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;101;2;84;4;80;2
29;2;6;5;2;2;2;2;2;1;1;1;5;6;5;5;6;3;5;4;6;3;3;3;3;3;2;2;3;5;2;4;1;3;4;3;3;5;3;3;2;2;2;3;3;3;3;2;3;102;2;86;4;82;1
31;2;6;1;1;1;1;1;1;2;7;1;5;7;4;4;4;1;1;5;1;1;1;1;1;1;1;1;1;4;4;4;3;4;1;1;4;1;1;4;4;1;1;2;1;1;1;1;1;103;2;87;4;83;2
22;2;6;3;2;2;1;2;1;1;1;1;4;4;5;4;6;2;2;2;3;3;3;3;3;4;3;3;2;6;5;2;4;4;3;3;3;3;5;5;3;3;5;3;3;3;3;3;4;105;1;89;4;86;1
27;1;5;2;1;2;2;1;1;1;1;1;3;3;3;4;4;3;3;4;5;5;6;5;5;3;5;5;5;6;6;6;5;4;5;5;6;6;6;5;5;6;5;5;5;5;5;6;6;103;1;87;3;83;1
35;2;6;3;2;1;1;2;1;2;1;1;1;2;3;2;4;3;1;3;6;2;4;4;5;4;1;1;1;6;4;5;2;5;6;5;4;5;4;5;5;6;6;3;4;4;5;4;5;104;2;88;3;84;1
29;1;6;2;2;2;1;1;1;1;2;1;5;6;5;5;4;3;4;6;7;5;6;5;7;4;3;2;3;5;4;5;5;4;6;5;5;5;5;4;3;6;5;5;5;4;5;5;6;104;1;88;4;85;2
28;1;6;2;2;2;1;1;1;1;2;1;5;6;6;6;5;3;2;2;3;2;2;2;3;1;3;2;2;5;3;4;4;3;3;3;3;3;3;4;3;3;3;3;1;2;2;3;2;105;2;89;3;85;1
30;2;6;2;2;1;1;2;1;1;1;1;2;1;2;2;5;1;1;1;2;1;1;1;1;1;6;1;1;2;1;2;1;1;1;1;2;1;1;2;3;5;2;3;1;1;1;2;1;106;1;91;3;87;1
30;1;6;3;2;2;2;1;1;1;2;1;6;7;6;6;7;5;6;6;6;2;2;2;1;1;3;3;4;6;5;6;6;5;2;2;3;2;1;1;2;2;1;5;3;2;4;3;4;106;2;90;3;86;2
29;2;6;2;2;1;1;2;1;1;3;1;4;7;5;5;4;3;2;4;3;3;3;5;3;5;2;2;2;4;5;5;5;4;5;6;6;5;5;5;5;5;6;6;3;3;2;6;5;107;1;90;4;87;2
29;1;6;3;2;2;2;1;1;1;1;1;3;3;3;5;4;2;1;2;2;3;4;3;4;3;2;2;3;4;3;4;1;2;4;5;5;5;5;3;4;4;3;4;4;6;6;3;6;107;2;91;4;88;2
26;2;6;3;2;2;2;1;1;1;1;1;2;2;2;3;2;2;2;2;3;3;1;3;3;3;1;1;1;4;4;4;4;4;4;2;2;2;2;4;4;4;4;4;4;4;4;4;4;108;2;92;3;89;1
29;1;6;2;1;2;2;1;1;1;1;1;4;6;5;5;2;4;3;5;4;6;6;6;6;6;6;6;6;5;4;6;6;4;6;7;6;7;6;6;3;6;6;6;6;6;6;6;6;109;1;92;4;89;2
24;1;6;1;1;2;1;1;1;1;1;1;5;5;4;3;4;2;2;1;1;2;3;4;2;3;1;1;1;4;4;4;4;4;4;3;3;3;2;2;3;4;2;2;2;4;4;4;5;109;2;93;4;90;1
27;2;6;2;2;2;1;1;1;1;2;1;3;3;3;2;7;1;2;2;4;2;3;2;2;3;1;2;1;1;3;3;2;1;2;3;2;2;3;2;3;2;3;2;2;2;2;2;1;110;2;94;4;91;2
35;1;6;1;2;1;1;1;1;1;3;1;4;5;4;4;4;4;4;4;4;4;3;3;3;2;1;2;2;7;4;7;4;4;5;5;6;5;5;2;4;4;4;4;5;5;5;5;6;110;1;94;3;91;1
26;2;6;3;2;2;1;1;1;2;1;1;5;6;5;5;5;2;3;2;2;5;4;3;3;3;1;5;2;5;3;5;4;6;2;5;5;3;3;4;3;5;4;5;2;3;5;3;5;111;2;95;3;92;1
29;2;6;3;2;2;2;1;1;1;1;1;7;6;4;5;3;1;3;2;3;2;3;2;1;1;1;1;1;4;6;4;5;5;4;4;4;4;4;5;5;5;4;4;4;5;5;5;5;111;1;95;4;92;2
41;1;6;5;2;2;2;2;2;1;1;1;5;6;5;5;6;3;3;4;4;3;4;4;5;4;1;1;2;6;4;6;3;5;5;5;6;5;5;4;4;5;5;5;5;5;5;5;5;112;1;96;4;93;2
28;2;6;3;2;2;2;1;1;1;1;1;3;5;4;3;5;3;2;2;3;2;3;2;4;3;3;4;3;4;4;4;2;4;4;3;4;2;2;4;1;4;4;3;3;4;3;4;4;112;2;96;3;93;1
26;1;6;2;2;2;1;1;1;1;1;1;3;1;4;5;5;5;3;5;6;1;4;4;4;3;5;3;4;4;4;4;5;4;4;4;4;4;4;4;4;5;4;4;3;4;3;4;4;116;2;100;3;97;2
27;2;6;2;2;2;1;1;1;1;1;1;6;6;5;4;6;4;4;5;3;4;4;4;4;2;5;3;2;4;3;4;4;4;4;3;3;3;3;2;2;2;2;2;4;4;4;4;4;113;2;97;4;94;1
24;2;6;3;2;1;1;2;1;2;1;1;3;3;3;5;4;2;4;6;6;3;4;2;5;5;3;2;2;6;5;6;3;4;3;5;4;3;3;5;5;6;4;5;5;4;5;4;5;115;1;98;4;95;2
26;1;6;2;2;2;1;1;1;1;1;1;2;3;2;3;3;1;2;2;1;2;3;3;3;3;2;3;3;4;5;5;5;2;4;4;4;5;5;4;4;4;4;4;4;4;4;4;6;114;2;99;3;96;1
26;1;6;2;1;2;2;1;1;1;1;1;5;4;5;5;3;1;1;3;3;1;3;1;1;1;1;1;1;4;4;4;4;4;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;115;2;99;4;96;2
26;1;6;3;2;2;2;1;1;1;1;1;5;5;5;5;4;3;3;3;3;3;4;4;3;3;2;2;3;4;6;6;5;4;4;5;5;5;5;3;4;5;3;5;4;4;4;4;4;116;1;100;4;97;1
24;2;6;2;2;1;2;1;1;1;1;1;6;5;5;5;4;2;2;4;5;6;6;4;4;5;5;6;6;2;5;4;3;3;2;6;5;4;5;5;2;5;5;2;3;6;6;4;6;117;1;101;3;98;1
26;2;6;4;2;2;2;1;2;1;1;1;5;2;4;5;6;1;2;3;2;5;4;3;4;4;2;5;4;5;5;3;3;5;5;4;5;4;4;3;5;3;2;3;2;3;4;5;3;118;1;102;4;100;2
23;2;4;3;2;2;2;1;1;1;2;1;4;4;4;4;4;4;4;3;3;4;5;4;4;4;4;4;4;4;5;5;4;4;4;5;4;4;4;5;4;4;5;3;4;4;4;4;4;120;1;104;3;102;1
22;2;2;2;2;2;1;1;1;1;1;1;4;6;5;4;5;3;2;3;3;2;2;2;5;6;4;3;2;3;3;3;3;3;2;2;2;2;3;2;3;2;3;3;2;2;2;3;2;120;2;103;4;101;2
17;1;2;2;2;1;1;1;2;1;1;1;2;5;3;4;5;2;2;4;5;4;4;4;5;3;3;5;3;5;5;1;5;2;6;5;6;6;5;4;7;6;7;7;3;4;6;4;7;119;1;103;3;100;1
18;2;2;2;1;2;1;1;2;1;1;1;3;5;3;4;6;3;3;5;3;4;4;1;4;4;2;2;2;6;6;5;6;5;3;3;4;4;4;5;6;6;5;6;4;5;5;5;5;119;2;104;4;101;1
22;2;6;3;2;2;1;2;1;1;1;1;3;6;3;5;6;1;1;5;1;3;5;5;6;6;3;3;3;5;5;6;2;5;5;5;3;5;5;6;5;5;6;6;5;6;5;5;5;121;1;105;3;103;2
27;2;6;5;2;2;2;2;1;2;1;1;4;7;4;5;4;2;2;6;4;3;4;4;5;5;4;4;4;4;4;5;5;4;5;4;5;4;5;6;5;5;5;6;4;5;4;4;5;122;1;106;3;104;2
27;2;6;2;1;2;1;2;1;1;1;1;5;5;4;4;4;2;1;5;5;4;3;5;3;4;5;5;4;5;4;4;3;4;4;5;5;5;5;6;6;6;6;6;5;5;6;5;5;123;1;107;4;105;2
27;2;6;3;2;2;2;1;1;1;1;1;2;3;5;2;3;1;1;1;2;3;3;2;2;3;1;1;2;6;5;5;5;5;5;5;5;5;5;4;4;4;4;4;5;5;5;5;4;125;2;109;4;107;2
27;2;6;2;1;2;2;1;1;1;1;1;3;5;5;6;4;2;1;5;2;1;3;4;1;1;2;1;2;4;6;5;3;4;5;4;5;4;5;3;4;4;5;3;3;5;4;5;6;124;1;108;3;106;1
28;2;6;2;2;2;1;1;1;1;3;1;5;7;5;5;4;3;4;4;2;4;6;5;4;4;4;5;5;5;4;4;2;3;6;6;5;6;6;4;4;5;5;4;5;5;6;4;7;125;1;108;4;106;2
32;1;6;2;2;2;1;1;1;1;2;1;5;7;5;5;6;4;5;3;2;1;2;1;2;2;1;1;1;5;4;5;4;4;6;2;3;2;2;2;3;3;2;2;4;3;3;4;3;126;2;110;3;108;1
31;2;6;3;2;2;2;1;1;1;4;1;4;6;4;5;2;2;2;2;2;3;3;3;2;3;3;3;3;5;5;5;4;5;5;4;5;4;5;5;5;5;5;5;4;5;5;4;5;126;1;110;4;108;2
30;2;6;3;2;2;2;1;1;1;1;1;4;6;5;5;6;2;2;2;2;1;1;1;1;1;1;1;1;4;5;4;2;4;4;1;4;2;4;3;4;4;3;4;4;4;4;4;5;127;2;111;4;109;2
26;1;6;1;2;1;1;1;1;1;2;1;5;5;5;5;4;3;3;5;5;5;5;5;5;5;4;4;5;6;6;6;5;5;6;6;5;6;6;5;5;5;5;5;5;5;6;5;6;127;1;111;3;109;1
33;2;6;2;2;1;1;1;1;2;3;1;4;3;3;3;3;2;2;4;2;4;5;4;4;3;4;4;4;5;5;5;5;4;5;5;5;5;5;4;4;5;5;5;5;6;6;4;6;128;1;112;3;110;2
32;2;6;1;1;1;1;1;2;1;3;1;4;6;5;5;6;3;4;4;5;2;2;2;3;2;1;1;1;5;4;4;5;3;3;4;4;4;3;2;2;3;2;4;5;3;6;4;4;128;2;112;4;110;1
30;1;6;2;1;2;1;1;2;1;1;1;4;6;5;4;6;3;3;5;4;4;6;5;4;4;4;5;5;3;4;5;1;2;5;6;6;6;6;5;6;6;6;6;5;6;6;5;6;129;1;113;4;111;1
40;2;6;3;2;1;2;1;1;2;2;1;3;2;3;3;3;4;4;4;3;3;3;3;3;3;3;3;3;4;4;5;4;4;3;3;3;3;3;4;4;4;4;4;3;3;3;3;5;129;2;113;3;111;2
20;1;2;3;2;2;1;1;2;1;2;1;4;4;3;3;4;4;2;4;3;3;3;4;4;4;3;2;4;5;4;5;4;4;4;4;4;4;4;4;4;5;5;4;3;5;4;4;4;130;1;118;3;113;1
17;1;2;4;2;2;1;1;2;2;1;1;2;2;5;4;3;1;1;2;4;2;4;5;3;5;1;2;2;3;5;2;6;2;5;5;7;7;7;4;5;7;5;7;4;7;6;4;6;131;1;117;3;114;1
16;1;2;2;1;2;1;1;2;1;1;1;3;5;3;3;6;4;2;3;7;7;7;7;7;4;5;1;5;3;3;4;1;1;3;5;3;4;5;6;6;5;6;7;1;5;3;5;6;132;2;119;3;116;1
16;1;2;2;2;2;1;1;1;1;1;1;4;3;4;5;6;4;4;5;5;4;4;4;3;4;2;2;2;4;5;5;3;4;4;4;4;5;5;5;6;5;5;5;4;5;5;4;5;134;2;115;3;114;2
17;1;2;4;2;2;1;1;2;2;1;1;5;3;4;4;7;4;3;4;3;3;4;5;4;5;1;1;3;6;5;6;4;2;4;4;5;6;4;4;6;6;5;5;4;5;5;4;6;131;2;119;4;115;1
18;1;2;1;2;1;1;1;1;1;1;1;5;3;6;5;5;5;5;5;3;5;4;4;4;4;2;5;5;4;4;4;4;4;4;3;3;4;3;1;1;3;4;3;5;3;4;5;5;130;2;117;4;112;1
17;2;2;4;2;2;1;1;2;2;1;1;4;7;6;5;5;5;6;6;5;4;3;3;5;5;2;5;2;3;3;3;3;3;3;3;3;5;4;1;3;4;4;2;1;3;4;2;3;133;2;115;4;115;2
18;1;2;5;2;2;2;1;2;2;1;1;7;4;2;3;4;4;3;3;3;4;4;4;4;4;4;4;4;6;5;6;5;4;4;4;4;4;4;4;4;4;4;4;5;5;5;4;5;132;1;114;3;113;2
21;1;2;3;2;2;1;1;2;1;1;1;3;3;3;3;6;1;3;4;5;4;7;5;5;5;4;3;4;4;3;4;4;3;4;4;4;3;4;5;4;6;6;5;5;6;5;5;6;133;1;118;4;117;1
21;1;2;2;1;1;1;1;2;2;2;1;3;3;3;4;4;4;3;1;3;3;3;3;3;3;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;134;1;116;4;116;2
28;1;6;3;2;2;1;1;2;1;1;1;3;6;6;5;6;6;3;6;5;6;7;6;6;6;6;6;7;6;6;7;5;5;7;6;7;7;6;6;6;6;7;7;7;7;7;7;7;135;1;120;3;118;1
27;1;6;4;2;2;2;1;1;2;1;1;2;3;3;4;5;3;2;4;3;2;2;2;2;2;2;2;2;4;3;4;3;3;2;2;2;2;1;2;3;2;1;4;3;4;4;4;5;136;2;120;4;118;2
24;1;6;3;2;2;2;1;1;1;1;1;5;6;5;5;5;3;4;5;4;3;5;4;5;5;4;4;4;6;6;6;6;4;4;5;6;5;6;4;5;5;5;5;6;6;6;5;6;136;1;121;4;119;2
24;1;6;1;1;2;1;1;1;1;1;1;6;7;6;5;4;3;3;4;5;5;4;4;4;3;2;1;2;5;5;5;4;4;6;5;5;5;4;2;2;5;4;4;3;5;5;5;5;137;1;121;3;119;1
27;2;6;1;2;1;1;1;1;1;1;1;3;5;5;3;4;2;2;5;6;1;3;1;3;3;1;1;1;4;4;5;4;4;4;4;4;4;3;3;4;3;5;5;4;4;4;4;4;138;1;122;4;120;2
30;2;6;3;2;2;1;1;1;2;1;1;2;4;4;2;2;1;1;2;2;1;1;1;1;1;1;1;1;1;1;4;3;1;2;1;4;1;1;1;1;1;1;1;1;1;1;1;1;138;2;122;3;121;2
24;1;6;3;2;2;2;1;1;1;1;1;5;6;3;5;6;3;4;3;2;6;5;5;4;4;6;1;6;6;6;6;4;5;6;6;6;6;6;5;6;6;5;5;7;7;7;6;7;139;1;123;4;121;1
32;1;6;4;2;2;2;2;1;1;1;1;4;6;3;4;4;2;2;2;2;1;1;1;3;2;2;2;2;5;4;5;4;2;4;2;2;2;3;3;3;4;2;3;3;3;4;4;3;139;2;123;3;122;1
26;2;6;1;1;1;1;1;1;2;1;1;4;5;2;6;3;1;2;2;2;1;1;1;1;1;1;3;1;4;4;4;4;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;140;2;124;3;122;2
36;2;6;1;2;1;1;1;1;1;3;1;5;6;5;6;5;6;6;6;6;3;3;2;4;2;2;2;2;3;5;4;5;4;4;2;4;3;3;3;4;5;5;5;4;3;3;3;3;141;2;125;3;124;1
30;1;6;2;2;2;1;1;1;1;2;1;4;6;5;5;4;4;4;6;6;5;5;4;3;5;3;2;3;5;5;5;3;4;6;5;5;5;5;5;3;6;5;2;5;4;6;5;5;141;1;125;4;124;2
30;1;6;3;2;2;2;1;1;1;3;1;6;7;7;6;7;6;6;6;6;2;2;2;2;2;2;2;2;6;5;7;6;7;2;2;2;1;1;1;2;2;1;5;2;3;4;2;6;142;2;126;4;125;1
31;1;6;2;1;2;2;1;1;1;1;1;4;5;5;6;7;2;3;6;2;1;1;1;1;1;1;4;1;5;3;6;2;2;4;1;4;2;2;1;1;1;1;1;3;5;5;4;3;143;1;127;4;126;1
29;1;6;2;2;2;1;1;1;1;3;1;3;5;5;4;5;3;4;5;4;3;4;4;4;2;4;3;3;6;4;6;5;4;6;6;6;6;6;4;4;5;6;4;5;5;6;5;6;143;2;127;3;126;2
41;2;6;1;2;1;1;1;1;1;3;1;6;6;6;6;4;5;5;5;5;3;3;3;3;3;3;3;3;6;6;6;4;6;4;4;4;3;4;3;2;3;4;2;5;5;5;5;5;144;2;128;3;127;1
